"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Buster Posey","Giants","580","517","154","30","2","19","69","76","53","72","5","2","1"," ",".299",".367",".473",".840",".367"," ","141","-2.0","5.1"," ","24.9","12.9","6.0","9166"
"Wilin Rosario","Rockies","360","336","94","18","1","17","43","53","18","70","1","2","1"," ",".279",".316",".487",".803",".349"," ","106","-0.5","-1.2"," ","1.9","-1.8","1.2","8002"
"Jonathan Lucroy","Brewers","552","494","140","29","2","14","61","63","47","66","4","5","3"," ",".283",".348",".433",".781",".345"," ","117","-1.6","1.3"," ","8.9","5.4","3.4","7870"
"Michael McKenry","Rockies","152","136","36","8","0","5","17","19","13","32","1","1","1"," ",".266",".333",".437",".769",".339"," ","100","-0.3","-1.2"," ","-0.3","1.9","0.7","9628"
"Devin Mesoraco","Reds","469","418","103","21","1","20","51","60","40","97","6","3","2"," ",".246",".317",".445",".762",".333"," ","110","-1.0","1.0"," ","4.3","10.5","3.2","5666"
"Brian McCann","Yankees","520","470","118","18","1","24","62","71","41","79","5","1","1"," ",".250",".314",".444",".758",".332"," ","110","-2.5","1.3"," ","3.2","8.8","3.2","4810"
"Russell Martin","Blue Jays","501","429","103","20","1","16","58","57","56","102","9","6","3"," ",".241",".339",".401",".740",".330"," ","109","-1.5","6.2"," ","3.4","13.1","3.6","4616"
"Wilson Ramos","Nationals","426","393","106","18","1","16","45","55","26","64","2","1","1"," ",".269",".315",".438",".754",".329"," ","109","-1.8","1.8"," ","2.3","10.6","2.8","1433"
"Yadier Molina","Cardinals","476","436","124","25","0","10","49","54","31","56","4","3","2"," ",".284",".334",".414",".748",".329"," ","110","-2.4","10.2"," ","3.2","19.7","4.1","7007"
"Evan Gattis","Astros","487","448","109","22","1","25","58","70","28","110","6","1","1"," ",".243",".294",".463",".757",".329"," ","111","-0.6","-0.7"," ","5.3","-12.3","1.0","11003"
