"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Jose Abreu","White Sox","609","539","158","28","2","37","87","102","58","127","7","3","2"," ",".293",".367",".554",".921",".395"," ","154","-1.2","-0.6"," ","34.7","-14.1","4.4","15676"
"Edwin Encarnacion","Blue Jays","548","475","127","24","2","29","77","86","63","77","5","3","2"," ",".266",".355",".510",".865",".375"," ","140","-0.7","-1.3"," ","23.4","-14.9","2.9","2151"
"Victor Martinez","Tigers","555","494","152","29","1","19","72","78","52","48","3","2","2"," ",".308",".375",".485",".860",".370"," ","138","-4.5","-1.0"," ","18.4","-14.8","2.4","393"
"Prince Fielder","Rangers","567","485","135","27","1","22","74","78","69","90","9","1","1"," ",".279",".375",".471",".846",".367"," ","132","-3.5","-5.6"," ","16.2","-16.4","2.0","4613"
"David Ortiz","Red Sox","526","456","126","28","1","23","72","78","62","88","3","1","1"," ",".277",".364",".492",".856",".365"," ","133","-4.9","0.0"," ","13.9","-14.1","1.8","745"
"Adam Lind","Brewers","472","423","115","21","1","17","54","60","42","86","2","1","1"," ",".271",".337",".447",".784",".344"," ","116","-1.6","-1.4"," ","6.9","-11.2","1.1","8027"
"Albert Pujols","Angels","585","530","142","28","1","24","72","83","45","71","5","3","2"," ",".268",".328",".462",".790",".342"," ","125","-4.2","4.4"," ","11.9","-7.4","2.6","1177"
"Miguel Sano","Twins","115","104","25","5","1","6","14","16","9","32","1","2","1"," ",".242",".306",".472",".777",".339"," ","117","0.0","0.0"," ","2.2","0.5","0.7","12164"
"Chris Carter","Astros","541","474","105","20","1","29","66","75","58","174","4","3","2"," ",".222",".310",".452",".762",".334"," ","115","-0.8","-1.4"," ","8.1","-13.9","1.3","9911"
"Nelson Cruz","Mariners","566","515","129","26","1","26","68","79","41","130","5","4","3"," ",".250",".309",".457",".765",".334"," ","117","-2.3","-0.2"," ","8.3","-15.1","1.3","2434"
"Billy Butler","Athletics","619","552","150","31","1","15","69","73","57","102","5","1","1"," ",".273",".344",".412",".756",".333"," ","116","-6.0","-0.5"," ","5.1","-16.3","1.0","7399"
"Mike Zuanich","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".266",".319",".439",".758",".333"," ","95","0.0","0.0"," ","0.0","0.0","0.0","sa454907"
"Evan Gattis","Astros","487","448","109","22","1","25","58","70","28","110","6","1","1"," ",".243",".294",".463",".757",".329"," ","111","-0.6","-0.7"," ","5.3","-12.3","1.0","11003"
"Lance Berkman","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".252",".339",".400",".739",".326"," ","104","0.0","0.0"," ","0.0","0.0","0.0","548"
"Cody Johnson","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".291",".455",".746",".326"," ","106","0.0","0.0"," ","0.0","0.0","0.0","sa326488"
"Josh Willingham","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".330",".398",".728",".326"," ","108","0.0","0.0"," ","0.0","0.0","0.0","2103"
"Kennys Vargas","Twins","515","470","118","22","1","20","59","68","36","111","5","1","1"," ",".252",".309",".434",".743",".325"," ","108","0.2","-0.3"," ","4.6","-12.1","1.0","12101"
"Kendrys Morales","Royals","516","470","123","25","1","16","56","63","36","92","4","1","1"," ",".262",".319",".419",".738",".324"," ","107","-2.8","0.0"," ","1.1","-13.6","0.5","8610"
"Corey Hart","Pirates","283","257","65","13","2","8","30","33","19","62","4","2","1"," ",".254",".313",".416",".729",".321"," ","106","-0.4","-1.5"," ","1.6","-6.9","0.3","1945"
"Jorge Vazquez"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".256",".278",".458",".736",".320"," ","103","0.0","0.0"," ","0.0","0.0","0.0","sa491894"
"John Jaso","Rays","504","439","108","23","2","10","55","48","52","88","6","4","2"," ",".246",".332",".379",".711",".319"," ","109","-0.8","0.5"," ","4.2","-8.9","1.3","5887"
"Josmil Pinto","Twins","306","275","68","14","1","9","32","34","25","61","2","1","1"," ",".248",".314",".403",".718",".318"," ","103","-0.3","-0.9"," ","0.7","-3.0","0.8","6806"
"David Bergin","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".247",".292",".429",".720",".317"," ","84","0.0","0.0"," ","0.0","0.0","0.0","sa599324"
"Nick Swisher","Braves","408","357","83","18","1","11","43","43","44","102","2","1","1"," ",".233",".318",".382",".700",".313"," ","102","-0.9","-0.4"," ","0.2","-10.9","0.3","4599"
"Dan Johnson","Cardinals","20","18","4","1","0","1","2","2","2","4","0","0","0"," ",".217",".312",".393",".705",".313"," ","97","0.0","0.0"," ","-0.1","-0.4","0.0","2167"
